"teamName","inGameName","checkedInAt"
"TeamSavage","AreYMad","Fri Aug 26 2016 23:02:35 GMT+0000 (UTC)"
"Prodigy Red","Prodigy | Pancake","Fri Aug 26 2016 23:41:01 GMT+0000 (UTC)"
"Legendary Style","LGS I GustoBr","Fri Aug 26 2016 23:00:06 GMT+0000 (UTC)"
"Legendary Style","LGS I Flasheeyy","Fri Aug 26 2016 23:00:06 GMT+0000 (UTC)"
"Mythic","toohn45","Fri Aug 26 2016 23:02:11 GMT+0000 (UTC)"
"Nefarious","Darby","Fri Aug 26 2016 23:03:10 GMT+0000 (UTC)"
"Nefarious","A Ficus Plant","Fri Aug 26 2016 23:03:10 GMT+0000 (UTC)"
"Watch My Screen","jeffsays","Fri Aug 26 2016 23:03:19 GMT+0000 (UTC)"
"proper legends","weekesy",
"proper legends","Croupaa",
"TeamSavage","ZenNh","Fri Aug 26 2016 23:02:35 GMT+0000 (UTC)"
"Inertia","Nexate","Fri Aug 26 2016 23:02:48 GMT+0000 (UTC)"
"TeamSavage","Da Buddha B","Fri Aug 26 2016 23:02:35 GMT+0000 (UTC)"
"Novelty Prize","eskimoje4sus","Fri Aug 26 2016 23:44:47 GMT+0000 (UTC)"
"Bums of Beckwith Park","sQuillis","Fri Aug 26 2016 23:04:29 GMT+0000 (UTC)"
"Dark Matter","DM-PRL | Tyrus","Fri Aug 26 2016 23:01:29 GMT+0000 (UTC)"
"Oblivion Blade","Chipwreck","Fri Aug 26 2016 23:02:29 GMT+0000 (UTC)"
"Victorious Secret","Dynamo","Fri Aug 26 2016 23:10:37 GMT+0000 (UTC)"
"Victorious Secret","marz","Fri Aug 26 2016 23:10:37 GMT+0000 (UTC)"
"Discipline","xZEROAMAZE","Fri Aug 26 2016 23:09:08 GMT+0000 (UTC)"
"M-m-m-my KKona","Knuggs","Fri Aug 26 2016 23:25:48 GMT+0000 (UTC)"
"Finger Suckers","Infamouse","Fri Aug 26 2016 23:21:00 GMT+0000 (UTC)"
"So Close","Martinengo","Fri Aug 26 2016 23:26:07 GMT+0000 (UTC)"
"We Play Games","Saint",
"We Play Games","Drayno",
"We Play Games","Dexnine",
"Velocity","ChippyParticle","Fri Aug 26 2016 23:44:52 GMT+0000 (UTC)"
