"teamName","inGameName","checkedInAt"
"Whiff City United","A_Cat_Wrangler","Fri Jun 17 2016 23:30:52 GMT+0000 (UTC)"
"Dedicated Few","FEW Iceman","Fri Jun 17 2016 23:08:29 GMT+0000 (UTC)"
"Dedicated Few","{FEW} Mystical","Fri Jun 17 2016 23:08:29 GMT+0000 (UTC)"
"Dedicated Few","{FEW} Cash","Fri Jun 17 2016 23:08:29 GMT+0000 (UTC)"
"Meade St. Mauraders","TbqhFamSmdh1","Fri Jun 17 2016 23:01:08 GMT+0000 (UTC)"
"Meade St. Mauraders","FoxxyGrandma22","Fri Jun 17 2016 23:01:08 GMT+0000 (UTC)"
"Turtle Squad","felixgg123","Fri Jun 17 2016 23:00:12 GMT+0000 (UTC)"
"Turtle Squad","Trainmon","Fri Jun 17 2016 23:00:12 GMT+0000 (UTC)"
"Barely Legal","KW Kesler","Fri Jun 17 2016 23:00:19 GMT+0000 (UTC)"
"Barely Legal","TheWittleGuy","Fri Jun 17 2016 23:00:19 GMT+0000 (UTC)"
"Socanellas team","SocaNellas",
"Socanellas team","JoaoXtremefail",
"SUIT Goes Rocket","wagass","Fri Jun 17 2016 23:05:29 GMT+0000 (UTC)"
"SUIT Goes Rocket","Darkxant","Fri Jun 17 2016 23:05:29 GMT+0000 (UTC)"
"Rubber Ducks","Loge_Bird","Fri Jun 17 2016 23:11:50 GMT+0000 (UTC)"
"Rubber Ducks","RocketMenVaioFox","Fri Jun 17 2016 23:11:50 GMT+0000 (UTC)"
"Cursed Legion","[PVG]Scopus","Fri Jun 17 2016 23:01:43 GMT+0000 (UTC)"
"Cursed Legion","Rinzler","Fri Jun 17 2016 23:01:43 GMT+0000 (UTC)"
"Crown & Jewels","Lethamyr","Fri Jun 17 2016 23:59:39 GMT+0000 (UTC)"
"Crown & Jewels","Amongstar","Fri Jun 17 2016 23:59:39 GMT+0000 (UTC)"
"TwisteD eSports","CivicHB","Fri Jun 17 2016 23:07:12 GMT+0000 (UTC)"
"TwisteD eSports","Colt","Fri Jun 17 2016 23:07:12 GMT+0000 (UTC)"
"A Passing Fancy","chucknorrispwns","Fri Jun 17 2016 23:01:37 GMT+0000 (UTC)"
"A Passing Fancy","Democraddict","Fri Jun 17 2016 23:01:37 GMT+0000 (UTC)"
"The Gassy Mexicans","Expozzia","Fri Jun 17 2016 23:01:59 GMT+0000 (UTC)"
