"teamName","inGameName","checkedInAt"
"NA Bae","Expozzia","Fri Jul 01 2016 23:53:50 GMT+0000 (UTC)"
"Fulham FC","LX-DJAL-XI","Fri Jul 01 2016 23:51:31 GMT+0000 (UTC)"
"Fulham FC","NinjaKylie25","Fri Jul 01 2016 23:51:31 GMT+0000 (UTC)"
"The strikers","SidedMirror1081","Fri Jul 01 2016 23:28:28 GMT+0000 (UTC)"
"The strikers","VividPlatypus79","Fri Jul 01 2016 23:28:28 GMT+0000 (UTC)"
"The U","xSTR8xSNiP3Zx","Fri Jul 01 2016 23:52:24 GMT+0000 (UTC)"
"Retrograde","Monster","Fri Jul 01 2016 23:44:59 GMT+0000 (UTC)"
"Retrograde","Hawkshot","Fri Jul 01 2016 23:44:59 GMT+0000 (UTC)"
"Chef","iceteaslurpie","Fri Jul 01 2016 23:07:25 GMT+0000 (UTC)"
"Chef","ODJoey","Fri Jul 01 2016 23:07:25 GMT+0000 (UTC)"
"The U","fafnirrl","Fri Jul 01 2016 23:52:24 GMT+0000 (UTC)"
"The U","nitro5718","Fri Jul 01 2016 23:52:24 GMT+0000 (UTC)"
"DragonsFury","sm0k","Fri Jul 01 2016 23:22:35 GMT+0000 (UTC)"
"DragonsFury","Dot_Of_Doom","Fri Jul 01 2016 23:22:35 GMT+0000 (UTC)"
"DragonsFury","RYBACK_97","Fri Jul 01 2016 23:22:35 GMT+0000 (UTC)"
"DragonsFury","DragonFury95","Fri Jul 01 2016 23:22:35 GMT+0000 (UTC)"
"Bandnoobs","Lawhill1986","Fri Jul 01 2016 23:54:16 GMT+0000 (UTC)"
"Bandnoobs","zavalaclan","Fri Jul 01 2016 23:54:16 GMT+0000 (UTC)"
"The strikers","VividPlatypus79","Fri Jul 01 2016 23:34:29 GMT+0000 (UTC)"
"The strikers","GlibIntergel691","Fri Jul 01 2016 23:34:29 GMT+0000 (UTC)"
"Outkast","Roflcatbbq","Fri Jul 01 2016 23:37:19 GMT+0000 (UTC)"
"Outkast","xisco","Fri Jul 01 2016 23:37:19 GMT+0000 (UTC)"
"Outkast","Snorklecraft64","Fri Jul 01 2016 23:37:19 GMT+0000 (UTC)"
"Hazard Zone","RubyHeart","Fri Jul 01 2016 23:08:29 GMT+0000 (UTC)"
"Danger Zone","Sad Cake Guy","Fri Jul 01 2016 23:10:23 GMT+0000 (UTC)"
"Danger Zone","Zea Prime","Fri Jul 01 2016 23:10:23 GMT+0000 (UTC)"
"Maximum Gains","kenny_boy676","Fri Jul 01 2016 23:15:04 GMT+0000 (UTC)"
"Maximum Gains","cbolt3113","Fri Jul 01 2016 23:15:04 GMT+0000 (UTC)"
"HOSS Inc.","Plunk_it_13",
"HOSS Inc.","FrogDuck50",
"HOSS Inc.","DaRouv23",
"HOSS Inc.","kyledaboss19",
"golden","GrimReaper_Q8Y","Fri Jul 01 2016 23:29:30 GMT+0000 (UTC)"
"golden","iSWAT-kw","Fri Jul 01 2016 23:29:30 GMT+0000 (UTC)"
"Ball Bandits","RixBT64","Fri Jul 01 2016 23:06:29 GMT+0000 (UTC)"
"Ball Bandits","SergioBarillas26","Fri Jul 01 2016 23:06:29 GMT+0000 (UTC)"
"Black Dragons","G O D A N","Fri Jul 01 2016 23:01:14 GMT+0000 (UTC)"
"PLAY5 Gaming","PLAY5.EpicSolutionZ","Fri Jul 01 2016 23:01:39 GMT+0000 (UTC)"
"Retrograde","TheClasse","Fri Jul 01 2016 23:44:59 GMT+0000 (UTC)"
"PLAY5 Gaming","PLAY5.Eddyy *Kinguin","Fri Jul 01 2016 23:01:39 GMT+0000 (UTC)"
"PLAY5 Gaming","PLAY5.Meliodas","Fri Jul 01 2016 23:01:39 GMT+0000 (UTC)"
"Black Dragons","Freedom","Fri Jul 01 2016 23:01:14 GMT+0000 (UTC)"
"Black Dragons","Krames","Fri Jul 01 2016 23:01:14 GMT+0000 (UTC)"
"Black Dragons","DuO","Fri Jul 01 2016 23:01:14 GMT+0000 (UTC)"
"Juvebentus","Dosma",
"Make 'em Pay","KiNG","Fri Jul 01 2016 23:02:31 GMT+0000 (UTC)"
"Quasar Knights","[QK]Takashiro","Fri Jul 01 2016 23:00:05 GMT+0000 (UTC)"
"Quasar Knights","[QK] Dirrty Harry","Fri Jul 01 2016 23:00:05 GMT+0000 (UTC)"
"Quasar Knights","Agent207","Fri Jul 01 2016 23:00:05 GMT+0000 (UTC)"
"Quasar Knights","[QK] |APx| BearsMWx10","Fri Jul 01 2016 23:00:05 GMT+0000 (UTC)"
"Hardcore Boostiality","Rito_Dorito","Fri Jul 01 2016 23:37:50 GMT+0000 (UTC)"
"The Legends","Hydra | TL","Fri Jul 01 2016 23:03:38 GMT+0000 (UTC)"
"The Legends","Ace Balthazar","Fri Jul 01 2016 23:03:38 GMT+0000 (UTC)"
"Hardcore Boostiality","Fmds","Fri Jul 01 2016 23:37:50 GMT+0000 (UTC)"
"Hardcore Boostiality","Velum","Fri Jul 01 2016 23:37:50 GMT+0000 (UTC)"
"Hardcore Boostiality","Dat Boi","Fri Jul 01 2016 23:37:50 GMT+0000 (UTC)"
"Make 'em Pay","C0M0D0","Fri Jul 01 2016 23:02:31 GMT+0000 (UTC)"
"Turtle Squad","DwSkillz72","Fri Jul 01 2016 23:10:15 GMT+0000 (UTC)"
"Turtle Squad","Corn Bread","Fri Jul 01 2016 23:10:15 GMT+0000 (UTC)"
"The Legends","Oblivion | TL","Fri Jul 01 2016 23:03:38 GMT+0000 (UTC)"
"Kebapi Fc","Danielson9994",
"Make 'em Pay","BIGJosher","Fri Jul 01 2016 23:02:31 GMT+0000 (UTC)"
"Crowd Control","Blaze","Fri Jul 01 2016 23:44:42 GMT+0000 (UTC)"
"Crowd Control","Kattastrophy","Fri Jul 01 2016 23:44:42 GMT+0000 (UTC)"
"Crowd Control","xLuCid","Fri Jul 01 2016 23:44:42 GMT+0000 (UTC)"
"Crowd Control","lostpaw","Fri Jul 01 2016 23:44:42 GMT+0000 (UTC)"
"Crowd Control","Forebones","Fri Jul 01 2016 23:44:42 GMT+0000 (UTC)"
"Rocket Warrior","Presunto",
"Juvebentus","MariachiU",
"Juvebentus","Caudark",
"Juvebentus","Luink",
"Momentum","Watsupmijo_24","Fri Jul 01 2016 23:32:50 GMT+0000 (UTC)"
"Momentum","Buzzeater","Fri Jul 01 2016 23:32:50 GMT+0000 (UTC)"
"Momentum","Timi_f","Fri Jul 01 2016 23:32:50 GMT+0000 (UTC)"
"HYPE Gaming","macPSU","Fri Jul 01 2016 23:15:17 GMT+0000 (UTC)"
"HYPE Gaming","Munchkinator","Fri Jul 01 2016 23:15:17 GMT+0000 (UTC)"
"HYPE Gaming","Javi Sweatpants","Fri Jul 01 2016 23:15:17 GMT+0000 (UTC)"
"HYPE Gaming","Kaiijuu","Fri Jul 01 2016 23:15:17 GMT+0000 (UTC)"
"HYPE Gaming","A Pudgy Badger","Fri Jul 01 2016 23:15:17 GMT+0000 (UTC)"
"Lucky Bounce","J_knaps","Fri Jul 01 2016 23:31:19 GMT+0000 (UTC)"
"Kebapi Fc","Sharkgeetee",
"Kebapi Fc","p0nti__",
"Rocket Warrior","MrGDfake",
