"teamName","inGameName","checkedInAt"
"DOUBLE COMBO","Joaco16",
"DOUBLE COMBO","Xerathox",
"Empyreal","EMP Vince","Fri Jul 29 2016 22:05:59 GMT+0000 (UTC)"
"Boost > Ball","AxB","Fri Jul 29 2016 22:40:10 GMT+0000 (UTC)"
"Jzeus eSports","Jzs | Posh Croc","Fri Jul 29 2016 22:31:57 GMT+0000 (UTC)"
"TFC","Javuh","Fri Jul 29 2016 22:04:55 GMT+0000 (UTC)"
"TFC","JadedLeaf","Fri Jul 29 2016 22:04:55 GMT+0000 (UTC)"
"TFC","Slim Shadey","Fri Jul 29 2016 22:04:55 GMT+0000 (UTC)"
"Under Pressure","ColdAsIce","Fri Jul 29 2016 22:05:43 GMT+0000 (UTC)"
"Rocket Rats","::::)","Fri Jul 29 2016 22:03:26 GMT+0000 (UTC)"
"Rocket Rats","CoreyDare","Fri Jul 29 2016 22:03:26 GMT+0000 (UTC)"
"Momentum","watsupmijo_24","Fri Jul 29 2016 22:05:30 GMT+0000 (UTC)"
"QWERTYUIOPASDFGHJKLZXCVBNM","Raze","Fri Jul 29 2016 22:35:44 GMT+0000 (UTC)"
"Jzeus eSports","Jzs | Kesler","Fri Jul 29 2016 22:31:57 GMT+0000 (UTC)"
"Cade Meu Boost","Ze","Fri Jul 29 2016 22:07:33 GMT+0000 (UTC)"
"Cade Meu Boost","Firefox","Fri Jul 29 2016 22:07:33 GMT+0000 (UTC)"
"i don't know","Knack","Fri Jul 29 2016 22:11:36 GMT+0000 (UTC)"
"i don't know","Shawckz","Fri Jul 29 2016 22:11:36 GMT+0000 (UTC)"
"Ridaz","Eat_my_gun",
"Ridaz","Wattswify",
"Ridaz","Dubnpj116",
"I'd Leave Too","Science Museum",
"Leviathans of Rocket Drifting","LoRD BroFather","Fri Jul 29 2016 22:27:57 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD mokio","Fri Jul 29 2016 22:27:57 GMT+0000 (UTC)"
"I'd Leave Too","Bagz",
"Poach Lives Matter","FTBALLisFUN","Fri Jul 29 2016 22:18:44 GMT+0000 (UTC)"
"Poach Lives Matter","IKillGiants24","Fri Jul 29 2016 22:18:44 GMT+0000 (UTC)"
"The spuds","Men_ki_ll_er",
"The spuds","Andrew19782 Heskislove",
"Pied Piper","edjacob25",
"Pied Piper","Jared",
"Danger Zone","Ryan","Fri Jul 29 2016 22:56:45 GMT+0000 (UTC)"
"Danger Zone","Zea Prime","Fri Jul 29 2016 22:56:45 GMT+0000 (UTC)"
"All Outta Boost","NATHAN MICHAEL M00RE",
"All Outta Boost","Bildo22",
"Black Dragons","G O D A N","Fri Jul 29 2016 22:05:24 GMT+0000 (UTC)"
"vVv Gaming","PxlBuzzard","Fri Jul 29 2016 22:23:59 GMT+0000 (UTC)"
"not team rocket","CHEEKYlad","Fri Jul 29 2016 22:47:20 GMT+0000 (UTC)"
"Under Pressure","Phaxxy","Fri Jul 29 2016 22:05:43 GMT+0000 (UTC)"
"SEO Moves","DESGADELHADO","Fri Jul 29 2016 22:13:25 GMT+0000 (UTC)"
"Enfeeble","Dutym[A]rv | Enfeeble",
"Insurgents eSports","twitch.tv/king_of_walruses","Fri Jul 29 2016 22:28:55 GMT+0000 (UTC)"
"SEO Moves","heade","Fri Jul 29 2016 22:13:25 GMT+0000 (UTC)"
"Enfeeble","Seether | Enfeeble",
"Enfeeble","Mango | Enfeeble",
"GFA e-Sports NA","GFA-Skibs","Fri Jul 29 2016 22:02:21 GMT+0000 (UTC)"
"Black Dragons","Freedom","Fri Jul 29 2016 22:05:24 GMT+0000 (UTC)"
"Black Dragons","Krames","Fri Jul 29 2016 22:05:24 GMT+0000 (UTC)"
"Black Dragons","DuO","Fri Jul 29 2016 22:05:24 GMT+0000 (UTC)"
"vVv Gaming","Azazel","Fri Jul 29 2016 22:23:59 GMT+0000 (UTC)"
"Cade Meu Boost","theKillah!","Fri Jul 29 2016 22:07:33 GMT+0000 (UTC)"
"BloodLust E- Sports","LucasMoreiraR","Fri Jul 29 2016 22:00:12 GMT+0000 (UTC)"
"Quasar Knights","[QK]Takashiro","Fri Jul 29 2016 22:00:06 GMT+0000 (UTC)"
"vVv Gaming","Ecko","Fri Jul 29 2016 22:23:59 GMT+0000 (UTC)"
"Quasar Knights","[QK] Dirrty Harry","Fri Jul 29 2016 22:00:06 GMT+0000 (UTC)"
"Quasar Knights","Agent207","Fri Jul 29 2016 22:00:06 GMT+0000 (UTC)"
"vVv Gaming","Alcapwn","Fri Jul 29 2016 22:23:59 GMT+0000 (UTC)"
"Quasar Knights","[QK] |APx| BärenMWx10","Fri Jul 29 2016 22:00:06 GMT+0000 (UTC)"
"Hardcore Boostiality","Rito_Dorito","Fri Jul 29 2016 22:04:10 GMT+0000 (UTC)"
"BloodLust E- Sports","Haberkamper","Fri Jul 29 2016 22:00:12 GMT+0000 (UTC)"
"BloodLust E- Sports","oDias_","Fri Jul 29 2016 22:00:12 GMT+0000 (UTC)"
"Osprey","[Osp] Bendr","Fri Jul 29 2016 22:03:26 GMT+0000 (UTC)"
"Osprey","[Osp] Killington","Fri Jul 29 2016 22:03:26 GMT+0000 (UTC)"
