"teamName","inGameName","checkedInAt"
"Chef","Wildee","Fri Jul 08 2016 23:46:54 GMT+0000 (UTC)"
"Tryptamine Junkies","Trebel360","Fri Jul 08 2016 23:23:42 GMT+0000 (UTC)"
"Tryptamine Junkies","Rubix","Fri Jul 08 2016 23:23:42 GMT+0000 (UTC)"
"Make 'em Pay","Stoiic","Fri Jul 08 2016 23:06:19 GMT+0000 (UTC)"
"Wiff City United Orange","|wCu| Verbluten","Fri Jul 08 2016 23:10:48 GMT+0000 (UTC)"
"Wiff City United Orange","|wCu| Dunkas","Fri Jul 08 2016 23:10:48 GMT+0000 (UTC)"
"No Capes!","Saint LFT","Fri Jul 08 2016 23:19:56 GMT+0000 (UTC)"
"No Capes!","Nc! Dark Demise","Fri Jul 08 2016 23:19:56 GMT+0000 (UTC)"
"No Capes!","Nc! Tyme","Fri Jul 08 2016 23:19:56 GMT+0000 (UTC)"
"TeamSavage","Mory Mango","Fri Jul 08 2016 23:27:09 GMT+0000 (UTC)"
"October Sky","xbLeU","Fri Jul 08 2016 23:01:55 GMT+0000 (UTC)"
"October Sky","JOHN1138","Fri Jul 08 2016 23:01:55 GMT+0000 (UTC)"
"Cade Meu Nome","Firefox","Fri Jul 08 2016 23:11:54 GMT+0000 (UTC)"
"moist boiz","Jaeger","Fri Jul 08 2016 23:05:15 GMT+0000 (UTC)"
"moist boiz","Super Chair","Fri Jul 08 2016 23:05:15 GMT+0000 (UTC)"
"Flying Rockets","Recall9","Fri Jul 08 2016 23:00:28 GMT+0000 (UTC)"
"Flying Rockets","ElYodah1","Fri Jul 08 2016 23:00:28 GMT+0000 (UTC)"
"Report Harry Chinrest","ericbordage","Fri Jul 08 2016 23:34:08 GMT+0000 (UTC)"
"Report Harry Chinrest","Harry Chinrest","Fri Jul 08 2016 23:34:08 GMT+0000 (UTC)"
"Disgruntled Gamers","Adepto","Fri Jul 08 2016 23:18:49 GMT+0000 (UTC)"
"Disgruntled Gamers","Soggy Duvet","Fri Jul 08 2016 23:18:49 GMT+0000 (UTC)"
"Disgruntled Gamers","3DGrunge","Fri Jul 08 2016 23:18:49 GMT+0000 (UTC)"
"Disgruntled Gamers","Mr_Lovette","Fri Jul 08 2016 23:18:49 GMT+0000 (UTC)"
"Jeremy And His Cats","Cat","Fri Jul 08 2016 23:00:53 GMT+0000 (UTC)"
"Jeremy And His Cats","Cat","Fri Jul 08 2016 23:00:53 GMT+0000 (UTC)"
"PigeonToedOrangePeel","Roado","Fri Jul 08 2016 23:00:24 GMT+0000 (UTC)"
"PigeonToedOrangePeel","RedRooster","Fri Jul 08 2016 23:00:24 GMT+0000 (UTC)"
"Siiick!","xXJayC98HDXx",
"Siiick!","Bomberday",
"Jinx","Liquid","Fri Jul 08 2016 23:26:46 GMT+0000 (UTC)"
"Jinx","Sub'n","Fri Jul 08 2016 23:26:46 GMT+0000 (UTC)"
"Stuck in Challenger",":)","Fri Jul 08 2016 23:03:48 GMT+0000 (UTC)"
"Ludicrous Display","Skyzen","Fri Jul 08 2016 23:01:10 GMT+0000 (UTC)"
"Ludicrous Display","Aeros","Fri Jul 08 2016 23:01:10 GMT+0000 (UTC)"
"Danger Zone","Sad Cake Guy","Fri Jul 08 2016 23:03:33 GMT+0000 (UTC)"
"Danger Zone","Ryan","Fri Jul 08 2016 23:03:33 GMT+0000 (UTC)"
"Danger Zone","Morsias","Fri Jul 08 2016 23:03:33 GMT+0000 (UTC)"
"DragonsFury","aaronsolis666","Fri Jul 08 2016 23:52:42 GMT+0000 (UTC)"
"DragonsFury","Dot_Of_Doom","Fri Jul 08 2016 23:52:42 GMT+0000 (UTC)"
"Cade Meu Nome","mmossmann","Fri Jul 08 2016 23:11:54 GMT+0000 (UTC)"
