"teamName","inGameName","checkedInAt"
"Calculated","StarcraftAlaska","Fri Aug 19 2016 23:10:50 GMT+0000 (UTC)"
"Calculated","RobertLovesGames","Fri Aug 19 2016 23:10:50 GMT+0000 (UTC)"
"Desperado","MasTEr BoBo",
"Desperado","[DSP]TheJust",
"Ridaz","Eat my gun",
"Ridaz","Wattswify",
"NinJers","Ruckuss",
"NinJers","Dalen",
"NinJers","Clown",
"Off the Crossbar","Matthu23",
"Sparkz","[SPZ] SwayedCandy",
"Sparkz","[SPZ] Rhipstr",
"One Round and Down","SarcasticMind","Fri Aug 19 2016 23:22:15 GMT+0000 (UTC)"
"0 Facts Given","Jacobgw45","Fri Aug 19 2016 23:10:02 GMT+0000 (UTC)"
"Uh Oh, Here We Go!","Bruce_2k11","Fri Aug 19 2016 23:53:30 GMT+0000 (UTC)"
"A Spoon and some utensils","WiZarD","Fri Aug 19 2016 23:06:26 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Catalyst","Fri Aug 19 2016 23:04:55 GMT+0000 (UTC)"
"Stuck in Challenger","jtskinz","Fri Aug 19 2016 23:03:44 GMT+0000 (UTC)"
"Uh Oh, Here We Go!","InvaderZed","Fri Aug 19 2016 23:53:30 GMT+0000 (UTC)"
"TheBattleBeer","TBB | Kugi","Fri Aug 19 2016 23:01:17 GMT+0000 (UTC)"
"Danger Zone","NigNogDiggityDog","Fri Aug 19 2016 23:00:53 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Doughnut","Fri Aug 19 2016 23:04:55 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Kesler","Fri Aug 19 2016 23:04:55 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Rayden","Fri Aug 19 2016 23:04:55 GMT+0000 (UTC)"
"Funky Gorrillaz","Yoda100400","Fri Aug 19 2016 23:00:59 GMT+0000 (UTC)"
"Funky Gorrillaz","Pizzadude206","Fri Aug 19 2016 23:00:59 GMT+0000 (UTC)"
"The Fly Boyz","Pringlicious",
"Okay.","Onion","Fri Aug 19 2016 23:42:20 GMT+0000 (UTC)"
"Advancing Challenges","Mmossmann","Fri Aug 19 2016 23:40:03 GMT+0000 (UTC)"
"Danger Zone","Falcon","Fri Aug 19 2016 23:00:53 GMT+0000 (UTC)"
"Winkeys Out for Monkey Man","Oshnatour","Fri Aug 19 2016 23:14:30 GMT+0000 (UTC)"
"Okay.","Charter","Fri Aug 19 2016 23:42:20 GMT+0000 (UTC)"
"Off the Crossbar","BrownSuggar",
"Invictus","SavvySeal","Fri Aug 19 2016 23:00:45 GMT+0000 (UTC)"
"Mythic","Omega Phoenix","Fri Aug 19 2016 23:03:12 GMT+0000 (UTC)"
"Advancing Challenges","Szaro","Fri Aug 19 2016 23:40:03 GMT+0000 (UTC)"
"Invictus","iOghma","Fri Aug 19 2016 23:00:45 GMT+0000 (UTC)"
"Winkeys Out for Monkey Man","Dismembers","Fri Aug 19 2016 23:14:30 GMT+0000 (UTC)"
"EnD","Pv2s-",
"All Boys School","MeatMarkets","Fri Aug 19 2016 23:53:27 GMT+0000 (UTC)"
"Off the Crossbar","Pur3sight",
"MoDz","chano","Fri Aug 19 2016 23:13:17 GMT+0000 (UTC)"
"MoDz","IkerRmz","Fri Aug 19 2016 23:13:17 GMT+0000 (UTC)"
"One Round and Down","Mitch-Rass","Fri Aug 19 2016 23:22:15 GMT+0000 (UTC)"
"Firebrand eSports Inferno","billyscape","Fri Aug 19 2016 23:00:53 GMT+0000 (UTC)"
"No Hands Gaming","NoH | mynameis1496","Fri Aug 19 2016 23:01:19 GMT+0000 (UTC)"
"LGBT Community","bread_boy",
"Off the Crossbar","JDimes30",
"The Calculators","Sp4rkz_Will_Fly","Fri Aug 19 2016 23:22:18 GMT+0000 (UTC)"
"EnD","sbosh_kwt",
"All Boys School","Chelios22","Fri Aug 19 2016 23:53:27 GMT+0000 (UTC)"
"ZeN","Kai Micah Mills","Fri Aug 19 2016 23:16:22 GMT+0000 (UTC)"
"Funky Gorrillaz","Rguo","Fri Aug 19 2016 23:00:59 GMT+0000 (UTC)"
"ZeN","Rocife","Fri Aug 19 2016 23:16:22 GMT+0000 (UTC)"
"LGBT Community","mattty-b-raps",
