"teamName","inGameName","checkedInAt"
"( ͡°( ͡° ͜ʖ( ͡° ͜ʖ ͡°)ʖ ͡°) ͡°)","BeatBoxer DaFiren","Fri Jun 03 2016 23:27:40 GMT+0000 (UTC)"
"( ͡°( ͡° ͜ʖ( ͡° ͜ʖ ͡°)ʖ ͡°) ͡°)","Geoff Shreeves","Fri Jun 03 2016 23:27:40 GMT+0000 (UTC)"
"Demonic Army ESports NA","Zak_Hucks_Disc","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"Demonic Army ESports NA","Gliem06","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"Demonic Army ESports NA","SWISHER157","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"Demonic Army ESports NA","thepainless_1","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"Demonic Army ESports NA","zThonY","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"Divinity","Qbert","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"Quasar Knights","Dirrty Harry","Fri Jun 03 2016 23:00:46 GMT+0000 (UTC)"
"Quasar Knights","Agent207","Fri Jun 03 2016 23:00:46 GMT+0000 (UTC)"
"Divinity","MrChaotyk | div","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"Divinity","Vexyn | div","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"Crown & Jewels","Yeezy",
"Quasar Knights","bearsmwx10","Fri Jun 03 2016 23:00:46 GMT+0000 (UTC)"
"Hardcore Boostiality","Rito_Dorito","Fri Jun 03 2016 23:02:05 GMT+0000 (UTC)"
"FrostBlade","C4","Fri Jun 03 2016 23:12:38 GMT+0000 (UTC)"
"Osprey","[Osp] Bendr",
"Osprey","[Osp] Killington",
"Proruption Gaming","Saraato","Fri Jun 03 2016 23:12:06 GMT+0000 (UTC)"
"Proruption Gaming","Agoney","Fri Jun 03 2016 23:12:06 GMT+0000 (UTC)"
"Proruption Gaming","Gagey12842","Fri Jun 03 2016 23:12:06 GMT+0000 (UTC)"
"Osprey","[Osp] BreadlessToast",
"Osprey","Ethom",
"Hardcore Boostiality","Fmds","Fri Jun 03 2016 23:02:05 GMT+0000 (UTC)"
"Hardcore Boostiality","Velum","Fri Jun 03 2016 23:02:05 GMT+0000 (UTC)"
"Hardcore Boostiality","Dat Boi","Fri Jun 03 2016 23:02:05 GMT+0000 (UTC)"
"Tommy's Angels","Filthy Casual","Fri Jun 03 2016 23:19:04 GMT+0000 (UTC)"
"Tommy's Angels","Filthy Casual",
"Montage In Action","xAmericanNinjax","Fri Jun 03 2016 23:11:07 GMT+0000 (UTC)"
"Montage In Action","CorruptSniping","Fri Jun 03 2016 23:11:07 GMT+0000 (UTC)"
"The Randoms","pro_gam-er7","Fri Jun 03 2016 23:07:45 GMT+0000 (UTC)"
"The Randoms","TheExtremeTroll","Fri Jun 03 2016 23:07:45 GMT+0000 (UTC)"
"The Randoms","RekingNoobs","Fri Jun 03 2016 23:07:45 GMT+0000 (UTC)"
"MeP","C0M0D0","Fri Jun 03 2016 23:14:52 GMT+0000 (UTC)"
"MeP","Wydoe","Fri Jun 03 2016 23:14:52 GMT+0000 (UTC)"
"Overdrive","Muhngkee",
"TwisteD Esports","Colt",
"Aerial Autonomy","Marc.",
"Aerial Autonomy","Lazarus",
"Aerial Autonomy","Javuh",
"Tinyfin Attackers","DwSkillz72","Fri Jun 03 2016 23:21:14 GMT+0000 (UTC)"
"Tinyfin Attackers","Corn Bread","Fri Jun 03 2016 23:21:14 GMT+0000 (UTC)"
"Tinyfin Attackers","brycehwl3","Fri Jun 03 2016 23:21:14 GMT+0000 (UTC)"
"Blues","CurlyPwn","Fri Jun 03 2016 23:24:17 GMT+0000 (UTC)"
"Blues","Deago","Fri Jun 03 2016 23:24:17 GMT+0000 (UTC)"
"Blues","Justhuss","Fri Jun 03 2016 23:24:17 GMT+0000 (UTC)"
"Come Back Kids","CBKxNinja",
"Rangers","Sportchampion15","Fri Jun 03 2016 23:38:34 GMT+0000 (UTC)"
"POLLONES FC","Rivarola8dex","Fri Jun 03 2016 23:11:52 GMT+0000 (UTC)"
"DestroyersOnPlay","IcarianG","Fri Jun 03 2016 23:00:22 GMT+0000 (UTC)"
"DestroyersOnPlay","Danelx7","Fri Jun 03 2016 23:00:22 GMT+0000 (UTC)"
"DestroyersOnPlay","Grenuille","Fri Jun 03 2016 23:00:22 GMT+0000 (UTC)"
"The Factory","DyNAmIc_WoNDeR_-","Fri Jun 03 2016 23:06:21 GMT+0000 (UTC)"
"Rock'em Block'em Probots","MaceOfSpades",
"FrostBlade","FBL - Meck","Fri Jun 03 2016 23:12:38 GMT+0000 (UTC)"
"Los Lobos Locos","L3 Juscouz","Fri Jun 03 2016 23:29:26 GMT+0000 (UTC)"
"Los Lobos Locos","RiskyGambit","Fri Jun 03 2016 23:29:26 GMT+0000 (UTC)"
"Los Lobos Locos","L3 FishMckilla","Fri Jun 03 2016 23:29:26 GMT+0000 (UTC)"
"Los Lobos Locos","L3 torodo","Fri Jun 03 2016 23:29:26 GMT+0000 (UTC)"
"TheFatCacks","iNSanity","Sat Jun 04 2016 00:10:10 GMT+0000 (UTC)"
"MGD","d4RKO",
"The Wet Dream","Triplet29","Fri Jun 03 2016 23:00:29 GMT+0000 (UTC)"
"The Wet Dream","Gweeds95","Fri Jun 03 2016 23:00:29 GMT+0000 (UTC)"
"The Wet Dream","XJUMPGANGX","Fri Jun 03 2016 23:00:29 GMT+0000 (UTC)"
"Demonic Army ESports NA","levonpet123","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"The Holy Trinity","God","Fri Jun 03 2016 23:00:18 GMT+0000 (UTC)"
"MGD","Marv",
"ZIVI","BoltPlayer",
"Team I.A.B","Mikeas321",
"PRL NA","bb21tt","Fri Jun 03 2016 23:03:14 GMT+0000 (UTC)"
"PRL NA","Doughnut King","Fri Jun 03 2016 23:03:14 GMT+0000 (UTC)"
"Divinity","Bshad","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"PRL NA","Sisco","Fri Jun 03 2016 23:03:14 GMT+0000 (UTC)"
"SavvySquad","Savvy",
"AlienatedBanana","[AB] Christian4361","Fri Jun 03 2016 23:00:53 GMT+0000 (UTC)"
"AlienatedBanana","[AB] FPxGamer","Fri Jun 03 2016 23:00:53 GMT+0000 (UTC)"
"AlienatedBanana","[AB] Shadow","Fri Jun 03 2016 23:00:53 GMT+0000 (UTC)"
"TheRocketLeagueKings","abbas1902",
"Thoughtless Discipline","Blaze","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"Thoughtless Discipline","Kattastrophy","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"Thoughtless Discipline","xLuCid","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"POLLONES FC","MuchachoPlisDont","Fri Jun 03 2016 23:11:52 GMT+0000 (UTC)"
"( ͡°( ͡° ͜ʖ( ͡° ͜ʖ ͡°)ʖ ͡°) ͡°)","pmag","Fri Jun 03 2016 23:27:40 GMT+0000 (UTC)"
"Thoughtless Discipline","lostpaw","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"Little Einsteins","Monster","Fri Jun 03 2016 23:00:55 GMT+0000 (UTC)"
"Beggars, not choosers","Sparrow5765","Fri Jun 03 2016 23:02:32 GMT+0000 (UTC)"
"LOS ROCKETEERS","SR LOCK","Fri Jun 03 2016 23:46:58 GMT+0000 (UTC)"
"LOS ROCKETEERS","Coelho_Gusta","Fri Jun 03 2016 23:46:58 GMT+0000 (UTC)"
"LOS ROCKETEERS","TNT-LØG™ T.Silva 154","Fri Jun 03 2016 23:46:58 GMT+0000 (UTC)"
"Thoughtless Discipline","Forebones","Fri Jun 03 2016 23:00:16 GMT+0000 (UTC)"
"The Uber Spuds","TheKingKobra","Fri Jun 03 2016 23:12:01 GMT+0000 (UTC)"
"Juvebentus","MariachiU","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"DynastyGaming","Shades","Fri Jun 03 2016 23:00:02 GMT+0000 (UTC)"
"Barely Legal","[BL] Connor","Fri Jun 03 2016 23:00:11 GMT+0000 (UTC)"
"The Randoms","MarioFan8","Fri Jun 03 2016 23:07:45 GMT+0000 (UTC)"
"The Randoms","zPhyloh","Fri Jun 03 2016 23:07:45 GMT+0000 (UTC)"
"Dishonoured","killrnite","Fri Jun 03 2016 23:01:41 GMT+0000 (UTC)"
"GamezRFun","Dcavederps","Fri Jun 03 2016 23:02:36 GMT+0000 (UTC)"
"GamezRFun","HankDaTank","Fri Jun 03 2016 23:02:36 GMT+0000 (UTC)"
"POLLONES FC","Manque68","Fri Jun 03 2016 23:11:52 GMT+0000 (UTC)"
"Momentum","Watsupmijo_24","Fri Jun 03 2016 23:09:05 GMT+0000 (UTC)"
"Momentum","Buzzeater","Fri Jun 03 2016 23:09:05 GMT+0000 (UTC)"
"Momentum","Timi_f","Fri Jun 03 2016 23:09:05 GMT+0000 (UTC)"
"Montage In Action","expirement9","Fri Jun 03 2016 23:11:07 GMT+0000 (UTC)"
"HYPE Gaming","macPSU","Fri Jun 03 2016 23:17:01 GMT+0000 (UTC)"
"GamezRFun","Cohnnor","Fri Jun 03 2016 23:02:36 GMT+0000 (UTC)"
"Dishonoured","Disgruntled 1800's Industialist","Fri Jun 03 2016 23:01:41 GMT+0000 (UTC)"
"Dishonoured","BruisertheCat","Fri Jun 03 2016 23:01:41 GMT+0000 (UTC)"
"LOS MOTIVAOS","Yoshi-!!!PAVEZ!!!","Fri Jun 03 2016 23:26:53 GMT+0000 (UTC)"
"LOS MOTIVAOS","TheCharlyZou","Fri Jun 03 2016 23:26:53 GMT+0000 (UTC)"
"Rusher","Jerhockey2001",
"Awesome","Minecraftwinna123","Fri Jun 03 2016 23:45:56 GMT+0000 (UTC)"
