"teamName","inGameName","checkedInAt"
,"Yungteej",
"HYPE Gaming","Munchkinator","Fri Jun 03 2016 23:17:01 GMT+0000 (UTC)"
"HYPE Gaming","Kaiijuu","Fri Jun 03 2016 23:17:01 GMT+0000 (UTC)"
"Awesome","ZNS999","Fri Jun 03 2016 23:45:56 GMT+0000 (UTC)"
"Awesome","Zayball860","Fri Jun 03 2016 23:45:56 GMT+0000 (UTC)"
"Tommy's Angels","Zephren","Fri Jun 03 2016 23:19:04 GMT+0000 (UTC)"
"Rusher","alexhockey",
"Rusher","ThecampingBudy",
"Little Einsteins","/\/imbus","Fri Jun 03 2016 23:00:55 GMT+0000 (UTC)"
"Little Einsteins","Rocketpower","Fri Jun 03 2016 23:00:55 GMT+0000 (UTC)"
"HYPE Gaming","Javi Sweatpants","Fri Jun 03 2016 23:17:01 GMT+0000 (UTC)"
"Juvebentus","Caudark","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"DynastyGaming","Husky Harris","Fri Jun 03 2016 23:00:02 GMT+0000 (UTC)"
"DynastyGaming","Guss","Fri Jun 03 2016 23:00:02 GMT+0000 (UTC)"
"Juvebentus","Luink","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"The Uber Spuds","Hawnray","Fri Jun 03 2016 23:12:01 GMT+0000 (UTC)"
"Beggars, not choosers","Ravens4life81","Fri Jun 03 2016 23:02:32 GMT+0000 (UTC)"
"Beggars, not choosers","Zachelleithy0514","Fri Jun 03 2016 23:02:32 GMT+0000 (UTC)"
"The Holy Trinity","Jesus","Fri Jun 03 2016 23:00:18 GMT+0000 (UTC)"
"The Holy Trinity","The Holy Spirit","Fri Jun 03 2016 23:00:18 GMT+0000 (UTC)"
"Team I.A.B","Lordbonz2152",
"Team I.A.B","UnbentHealer159",
"TheFatCacks","Zerenity","Sat Jun 04 2016 00:10:10 GMT+0000 (UTC)"
"TheFatCacks","Venum","Sat Jun 04 2016 00:10:10 GMT+0000 (UTC)"
"TheFatCacks","BigD","Sat Jun 04 2016 00:10:10 GMT+0000 (UTC)"
"TheFatCacks","E@Zy_D","Sat Jun 04 2016 00:10:10 GMT+0000 (UTC)"
"Rock'em Block'em Probots","honeybear",
"Rock'em Block'em Probots","intrepid",
"LOS MOTIVAOS","HERRERA AL VOLANTE","Fri Jun 03 2016 23:26:53 GMT+0000 (UTC)"
"Overdrive","DoCtor SavAgE",
"Overdrive","Lava [Aerial Autonomy]",
"TwisteD Esports","CivicHB",
"TwisteD Esports","Can't do Aerials",
"Come Back Kids","ByHalcyon",
"Come Back Kids","ur2lo4me",
"Rangers","kingdrew1010","Fri Jun 03 2016 23:38:34 GMT+0000 (UTC)"
"Rangers","DWright032002","Fri Jun 03 2016 23:38:34 GMT+0000 (UTC)"
"The Factory","litho_guy","Fri Jun 03 2016 23:06:21 GMT+0000 (UTC)"
"The Factory","FIR3BOII","Fri Jun 03 2016 23:06:21 GMT+0000 (UTC)"
"Tommy's Angels","Zephren",
"Tommy's Angels","DrCanadaEh",
,"Lieutenant lightskin",
"SavvySquad","C14ssy sHark",
"SavvySquad","Ninjawarrior",
"TheRocketLeagueKings","{RLM} [S*R] TTGLKami",
"TheRocketLeagueKings","destroyer541",
"The Uber Spuds","The Wonderful Wizard of Beans","Fri Jun 03 2016 23:12:01 GMT+0000 (UTC)"
"Barely Legal","[BL] Brotaetachip","Fri Jun 03 2016 23:00:11 GMT+0000 (UTC)"
"Barely Legal","[BL] ZW Kesler","Fri Jun 03 2016 23:00:11 GMT+0000 (UTC)"
"Tommy's Angels","DrCanadaEh","Fri Jun 03 2016 23:19:04 GMT+0000 (UTC)"
"Crown & Jewels","xxKhaelanxx",
"MGD","Genzo Wakabayash",
"Crown & Jewels","Masterio",
"FrostBlade","FBL - Monkey","Fri Jun 03 2016 23:12:38 GMT+0000 (UTC)"
"Juvebentus","Dosma","Fri Jun 03 2016 23:01:06 GMT+0000 (UTC)"
"ZIVI","Krispunk",
"ZIVI","seiya",
"MeP","KiNG","Fri Jun 03 2016 23:14:52 GMT+0000 (UTC)"
"Quasar Knights","Takashiro","Fri Jun 03 2016 23:00:46 GMT+0000 (UTC)"
